VALUE,EVT_Name,LFRDB,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
9504,Columbia Basin Foothill Riparian Herbaceous,9002,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9502,Columbia Basin Foothill Riparian Shrubland,9002,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.28627500000,0.67058800000,0.72941200000
9002,Columbia Basin Foothill Riparian Woodland,9002,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9030,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,9030,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,184,96,24,0.72156900000,0.37647100000,0.09411800000
9505,Great Basin Foothill and Lower Montane Riparian Herbaceous,9003,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9503,Great Basin Foothill and Lower Montane Riparian Shrubland,9003,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.28627500000,0.67058800000,0.72941200000
9003,Great Basin Foothill and Lower Montane Riparian Woodland,9003,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9148,North American Warm Desert Cienega,9148,2155,Tr North American Warm Desert Riparian Systems,Herb,669,Riparian,Western Herbaceous Wetland,LF 56: Western Herbaceous Wetland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,81,180,141,0.31764700000,0.70588200000,0.55294100000
9535,North American Warm Desert Lower Montane Riparian Shrubland,9035,2155,Tr North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9035,North American Warm Desert Lower Montane Riparian Woodland,9035,2155,Tr North American Warm Desert Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9533,North American Warm Desert Riparian Herbaceous,9034,2155,Tr North American Warm Desert Riparian Systems,Herb,669,Riparian,Western Herbaceous Wetland,LF 56: Western Herbaceous Wetland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,81,180,141,0.31764700000,0.70588200000,0.55294100000
