capID,code,trapper,site,day,date,trap,trap.type,species,age,sex,breed,recap,left.tag,right.tag,clipped,total.wt,bag.wt,body.lgth,tail.lgth,comments,catnum,indID,tail.ratio,weight
77,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A1,S,PEMA,A,M,N,Y,45,NA,NA,47,34,66,56,NA,NA,045,0.848484848484849,13
78,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A3,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A4,L,TAQU,A,M,T,Y,177,NA,NA,120,34,NA,NA,NA,NA,177,NA,86
80,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,A9,L,TAQU,A,F,P,Y,4,NA,NA,125,35,NA,NA,NA,NA,004,NA,90
81,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,B3,L,PEMA,A,M,T,Y,193,NA,NA,51,35,82,58,slightly scrotal,NA,193,0.707317073170732,16
82,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,C6,L,PEMA,A,F,N,Y,42,NA,NA,51,34,82,74,squeaky,NA,042,0.902439024390244,17
83,GRNHOU-2-A,KAT,GRNHOU,2,2017-07-26,D2,S,PEMA,A,M,N,Y,25,NA,NA,47,34,63,59,NA,NA,025,0.936507936507937,13
84,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,I4,S,SPRU,MD,MD,MD,N,NA,NA,NA,NA,NA,NA,NA,escaped,NA,NA,NA,NA
85,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,H7,S,PEMA,S,M,N,N,104,NA,NA,59,45,63,69,NA,NA,104,1.0952380952381,14
86,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,G8,S,PEMA,A,M,T,N,406,NA,NA,59,43,62,67,NA,NA,406,1.08064516129032,16
87,GRNHOU-2-B,BRP,GRNHOU,2,2017-07-26,G1,L,SPRU,A,M,U,Y,NA,NA,CLIPPED,51,46,NA,49,stinky,NA,NA,NA,5
88,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,J6,L,SOTR,A,U,U,N,NA,NA,CLIPPED,51,46,NA,48,shrew,NA,CLIP-6,NA,5
89,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,J9,S,PEBO,A,F,P,N,114,NA,NA,62,45,NA,NA,gray with yellow flanks; escaped,NA,114,NA,17
90,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,I2,S,PEMA,A,MD,MD,Y,117,NA,NA,60,48,NA,NA,escaped,NA,117,NA,12
91,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,H4,L,PEMA,MD,MD,MD,N,NA,NA,NA,NA,NA,NA,NA,escaped,NA,DAY3-1,NA,NA
92,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,H8,L,PEMA,A,M,T,N,421,NA,NA,58,45,64,58,NA,NA,421,0.90625,13
93,GRNHOU-3-A,BRP,GRNHOU,3,2017-07-27,G1,L,PEMA,MD,MD,MD,Y,193,NA,NA,58,42,NA,NA,yellow flanks,NA,193,NA,16
94,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,A1,S,PEMA,A,M,N,Y,25,NA,NA,47,34,70,60,very small,NA,025,0.857142857142857,13
95,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,A2,L,PEBO,A,F,N,N,185,NA,NA,59,32,91,99,hind foot = 20mm; ear = 18mm; hairy tail,NA,185,1.08791208791209,27
96,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,A3,S,TAQU,A,M,T,Y,177,NA,NA,117,33,NA,NA,NA,NA,177,NA,84
97,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,A8,S,SOTR,A,U,U,N,NA,NA,NA,43,37,NA,50,NA,NA,DAY3-2,NA,6
98,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,A9,L,TAQU,A,F,P,Y,4,NA,NA,124,34,NA,NA,NA,NA,004,NA,90
99,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,D4,S,GLSA,A,M,T,Y,180,NA,NA,132,34,NA,NA,NA,NA,180,NA,98
100,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,C8,L,PEMA,S,F,N,Y,402,NA,NA,49,38,67,60,NA,NA,402,0.895522388059702,11
101,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,E5,L,PEMA,A,M,N,Y,45,NA,NA,46,34,72,57,NA,NA,045,0.791666666666667,12
102,GRNHOU-3-B,KAT,GRNHOU,3,2017-07-27,D6,S,PEMA,A,F,N,Y,42,NA,NA,50,34,83,74,NA,NA,042,0.891566265060241,16
103,GRNKAN-1-A,BRP,GRNKAN,1,2017-08-01,A4,L,REME,A,M,T,N,123,NA,NA,64,45,NA,NA,all brown,NA,123,NA,19
104,GRNKAN-1-A,BRP,GRNKAN,1,2017-08-01,A8,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,GRNKAN-1-A,BRP,GRNKAN,1,2017-08-01,C10,L,SOTR,A,U,U,N,NA,NA,NA,5,NA,NA,51,dead,KING-095,KING-095,NA,NA
106,GRNKAN-1-A,BRP,GRNKAN,1,2017-08-01,E9,S,PEMA,A,F,P,N,NA,NA,NA,65,46,77,73,dead,KING-049,KING-049,0.948051948051948,19
107,GRNKAN-1-A,BRP,GRNKAN,1,2017-08-01,F9,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,GRNKAN-1-B,MLW,GRNKAN,1,2017-08-01,I4,L,PEBO,A,F,N,N,377,NA,NA,55,36,89,94,NA,NA,377,1.0561797752809,19
109,GRNKAN-1-B,MLW,GRNKAN,1,2017-08-01,J10,S,PEMA,A,M,T,N,488,NA,NA,50,34,82,63,NA,NA,488,0.768292682926829,16
110,GRNKAN-1-B,MLW,GRNKAN,1,2017-08-01,H10,S,PEMA,A,M,T,N,284,NA,NA,50,35,68,70,NA,NA,284,1.02941176470588,15
111,GRNKAN-1-C,CHT,GRNKAN,1,2017-08-01,J8,S,PEBO,A,F,N,N,497,NA,NA,55,36,82,95,NA,NA,497,1.15853658536585,19
112,GRNKAN-1-C,CHT,GRNKAN,1,2017-08-01,J9,L,PEBO,A,M,T,N,333,NA,NA,40,16,88,101,died during processing,KING-052,333,1.14772727272727,24
113,GRNKAN-2-A,BRP,GRNKAN,2,2017-08-02,I3,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,GRNKAN-2-A,BRP,GRNKAN,2,2017-08-02,H10,L,PEMA,A,M,T,Y,488,NA,NA,61,43,80,65,NA,NA,488,0.8125,18
115,GRNKAN-2-A,BRP,GRNKAN,2,2017-08-02,E1,S,REME,A,M,T,N,424,NA,NA,64,43,79,67,NA,NA,424,0.848101265822785,21
116,GRNKAN-2-A,BRP,GRNKAN,2,2017-08-02,E2,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,GRNKAN-2-A,BRP,GRNKAN,2,2017-08-02,E6,L,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,GRNKAN-2-A,BRP,GRNKAN,2,2017-08-02,C10,L,PEMA,A,F,N,N,410,NA,NA,55,44,60,63,NA,NA,410,1.05,11
119,GRNKAN-2-B,CHT,GRNKAN,2,2017-08-02,J1,L,PEBO,A,M,T,Y,377,NA,NA,56,37,62,95,NA,NA,377,1.53225806451613,19
120,GRNKAN-2-B,CHT,GRNKAN,2,2017-08-02,J8,S,PEBO,A,F,N,Y,497,NA,NA,53,34,75,95,dead,KING-031,497,1.26666666666667,19
121,GRNKAN-2-B,CHT,GRNKAN,2,2017-08-02,F5,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,GRNKAN-3-A,CHT,GRNKAN,3,2017-08-03,C2,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,GRNKAN-3-A,CHT,GRNKAN,3,2017-08-03,C10,L,PEMA,A,M,T,N,496,NA,NA,33,17,70,65,NA,NA,496,0.928571428571429,16
124,GRNKAN-3-B,MLW,GRNKAN,3,2017-08-03,E1,S,PEBO,A,M,T,N,492,NA,NA,53,35,87,96,NA,NA,492,1.10344827586207,18
125,GRNKAN-3-B,MLW,GRNKAN,3,2017-08-03,F1,L,PEMA,A,F,P,N,292,NA,NA,57,39,73,67,NA,NA,292,0.917808219178082,18
126,GRNKAN-3-B,MLW,GRNKAN,3,2017-08-03,F9,L,PEMA,A,M,T,N,393,NA,NA,51,35,75,66,NA,NA,393,0.88,16
127,GRNKAN-3-C,BRP,GRNKAN,3,2017-08-03,I4,L,PEBO,A,F,N,Y,377,NA,NA,63,45,72,83,NA,NA,377,1.15277777777778,18
128,GRNKAN-3-C,BRP,GRNKAN,3,2017-08-03,H7,L,PEBO,A,M,T,N,405,NA,NA,63,47,71,80,NA,NA,405,1.12676056338028,16
129,GRNKAN-3-C,BRP,GRNKAN,3,2017-08-03,H10,S,PEMA,A,M,T,Y,884,NA,NA,58,44,65,70,PEBO or REME,NA,488,1.07692307692308,14
130,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,A6,L,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rolled over,NA,NA,NA,NA
131,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,B10,S,PEMA,A,M,T,N,673,NA,NA,49,32,75,71,NA,NA,673,0.946666666666667,17
132,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,B2,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tipped on side,NA,NA,NA,NA
133,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,D9,S,PEMA,A,M,T,N,280,NA,NA,48,33,76,58,NA,NA,280,0.763157894736842,15
134,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,D8,L,PEMA,A,F,N,N,657,NA,NA,46,33,63,57,NA,NA,657,0.904761904761905,13
135,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,D6,S,SOTR,A,F,U,N,NA,NA,NA,4.5,NA,47,47,dead,KING-101,KING-101,1,NA
136,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,D5,L,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing bait; no other signs of intrusion,NA,NA,NA,NA
137,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,E1,S,PEMA,A,F,N,N,662,NA,NA,47,33,80,58,NA,NA,662,0.725,14
138,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,F8,S,GLSA,A,F,N,N,652,NA,NA,167,36,NA,NA,NA,NA,652,NA,131
139,GRNMAS-1-A,MLW,GRNMAS,1,2017-08-15,F5,L,PEMA,A,M,T,N,664,NA,NA,50,34,84,79,NA,NA,664,0.94047619047619,16
140,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,J2,S,PEBO,S,M,N,N,803,NA,NA,52,34,79,87,very grey,NA,803,1.10126582278481,18
141,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,J3,L,PEMA,A,F,N,N,753,NA,NA,53,37,78,69,NA,NA,753,0.884615384615385,16
142,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,J4,S,SPBE,A,M,T,N,810,NA,NA,400,37,NA,NA,NA,NA,810,NA,363
143,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,J10,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,I5,S,MISS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,I3,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,H10,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,possibly because of beetle,NA,NA,NA,NA
147,GRNMAS-1-B,MFS,GRNMAS,1,2017-08-15,G5,S,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,possibly because of beetle,NA,NA,NA,NA
