site,severity,date,trap,indID,species,binomial,binomial_short,family,age,recap,weight,comments
GRNSNO,unb,2017-07-19,C6,KING-025,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,N,NA,dead
GRNTUR,unb,2017-07-12,J10,344,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,huge ears
GRNTUR,unb,2017-07-12,J6,209,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,660,NA
GRNTUR,unb,2017-07-12,J3,341,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,Y,15,NA
GRNTUR,unb,2017-07-12,J2,UNIQ-1,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,N,2,escaped
GRNTUR,unb,2017-07-12,H1,335,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,20,NA
GRNTUR,unb,2017-07-12,B10,354,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,13,NA
GRNTUR,unb,2017-07-12,E7,135,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,N,72,NA
GRNWOO,unb,2017-07-05,H9,KING-065,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,NA,dead
GRNWOO,unb,2017-07-05,G2,KING-047,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,N,NA,dead (trap in sun)
GRNWOO,unb,2017-07-05,F1,430,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,12,NA
GRNWOO,unb,2017-07-05,E6,157,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,8,NA
GRNWOO,unb,2017-07-05,D9,CLIP-10,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,Y,NA,dead (recap of live SOTR from 4 Jul 2017); updated from previous info
GRNWOO,unb,2017-07-05,E2,174,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,11,NA
GRNWOO,unb,2017-07-05,B1,KING-058,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,N,NA,dead
GRNWOO,unb,2017-07-05,A5,152,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,S,N,75,juvenile
HIBADR,high,2017-08-30,I10,464,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
HIBADR,high,2017-08-30,J7,326,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
HIBADR,high,2017-08-30,H2,894,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,21,NA
HIBADR,high,2017-08-30,E2,779,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,NA
HIBADR,high,2017-08-30,B5,660,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,S,Y,286,NA
HIBADR,high,2017-08-30,F5,754,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,11,NA
HIBADR,high,2017-08-30,H6,KING-010,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,mort
HICAMP,high,2017-06-28,A8,458,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,NA,N,630,NA
HICAMP,high,2017-06-28,B9,470465,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,15,NA
HICAMP,high,2017-06-28,B1,255,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,620,NA
HICAMP,high,2017-06-28,I10,415109,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,9,NA
HICAMP,high,2017-06-28,J10,379293,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,15,NA
HICAMP,high,2017-06-28,H2,150352,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,19,NA
HICAMP,high,2017-06-28,D9,397,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,435,NA
HICAMP,high,2017-06-28,J3,363,OTBE,Otospermophilus beecheyi,O. beecheyi,Cricetidae,A,N,585,NA
HICORN,high,2017-08-16,J2,976,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,12,NA
HICORN,high,2017-08-16,J6,189,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,21,has had previous litter
HICORN,high,2017-08-16,G10,890,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,18,pretty fur and bristly tail; but short tail
HICORN,high,2017-08-16,F1,466,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,21,too pregnant to jump
HICORN,high,2017-08-16,A8,954,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,NA
HICORN,high,2017-08-16,C3,879,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,14,NA
HICORN,high,2017-08-16,C8,885,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
HICORN,high,2017-08-16,C9,050,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
HICORN,high,2017-08-16,D1,960,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,NA,escaped
HICOWS,high,2017-08-24,J4,121,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,15,NA
HICOWS,high,2017-08-24,J5,860,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,19,NA
HICOWS,high,2017-08-24,F2,483,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,measurements good
HICOWS,high,2017-08-24,F8,085,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,20,NA
HICOWS,high,2017-08-24,C5,088,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
HICOWS,high,2017-08-24,B3,350,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,N,22,NA
HICOWS,high,2017-08-24,B2,482,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,14,NA
