site,severity,date,day,trap,indID,species,binomial,binomial_short,common_name,family,age,recap,weight,comments
GRNMAS,unb,2017-08-15,1,I3,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-15,1,H10,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,possibly because of beetle
GRNMAS,unb,2017-08-15,1,G5,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,possibly because of beetle
GRNMAS,unb,2017-08-15,1,G3,752,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNMAS,unb,2017-08-16,2,A10,826,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNMAS,unb,2017-08-16,2,D6,657,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,14,NA
GRNMAS,unb,2017-08-16,2,E10,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-16,2,F5,664,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNMAS,unb,2017-08-16,2,F8,KING-067,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,S,N,NA,NA
GRNMAS,unb,2017-08-16,2,J2,662,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,16,NA
GRNMAS,unb,2017-08-16,2,J3,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,knocked over
GRNMAS,unb,2017-08-16,2,J6,753,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,15,NA
GRNMAS,unb,2017-08-16,2,I8,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-16,2,I5,847,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,18,NA
GRNMAS,unb,2017-08-16,2,I3,803,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,Y,17,NA
GRNMAS,unb,2017-08-16,2,I1,705,PETR,Peromyscus truei,P. truei,Pinyon mouse,Cricetidae,A,N,23,NA
GRNMAS,unb,2017-08-16,2,H7,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-16,2,H9,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-16,2,H10,845,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,N,14,NA
